TITLE	
DATA TYPE	ULTRAVIOLET SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	15/04/23
TIME	12:57:07
SPECTROMETER/DATA SYSTEM	
LOCALE	1045
RESOLUTION	
DELTAX	-1
XUNITS	NANOMETERS
YUNITS	REFLECTANCE
FIRSTX	 2000,0000
LASTX	  200,0000
NPOINTS	    1801
FIRSTY	    70,89654
MAXY	    81,29649
MINY	    16,75885
XYDATA
1012,0000	78,9034
1011,0000	78,9195
1010,0000	78,9185
1009,0000	78,9384
1008,0000	78,9237
1007,0000	78,8397
1006,0000	78,8211
1005,0000	78,8091
1004,0000	78,8529
1003,0000	78,9056
1002,0000	78,961
1001,0000	78,9997
1000,0000	79,0168
999,0000	79,0815
998,0000	79,0394
997,0000	79,0501
996,0000	79,0134
995,0000	78,9488
994,0000	78,9051
993,0000	78,8489
992,0000	78,8699
991,0000	78,8856
990,0000	78,9193
989,0000	78,9245
988,0000	78,8852
987,0000	78,8949
986,0000	78,8883
985,0000	78,9255
984,0000	78,9781
983,0000	78,9669
982,0000	78,9639
981,0000	78,9734
980,0000	78,9007
979,0000	78,877
978,0000	78,8936
977,0000	78,884
976,0000	78,9295
975,0000	78,9745
974,0000	78,9697
973,0000	78,9351
972,0000	78,9184
971,0000	78,9127
970,0000	78,9184
969,0000	78,9495
968,0000	79,0311
967,0000	79,0153
966,0000	79,0462
965,0000	79,0193
964,0000	78,9612
963,0000	78,9755
962,0000	78,9537
961,0000	79,0028
960,0000	79,0116
959,0000	79,0036
958,0000	79,0489
957,0000	79,0778
956,0000	79,0673
955,0000	79,075
954,0000	79,0861
953,0000	79,0353
952,0000	79,0799
951,0000	79,0594
950,0000	79,008
949,0000	79,0272
948,0000	79,0031
947,0000	78,9988
946,0000	78,994
945,0000	79,0411
944,0000	79,0321
943,0000	79,0357
942,0000	79,0335
941,0000	78,898
940,0000	78,8328
939,0000	78,8172
938,0000	78,7485
937,0000	78,7699
936,0000	78,7898
935,0000	78,7099
934,0000	78,7797
933,0000	78,738
